artist_id,music_author,music_title,popularity,song_id,album,release_date
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Intentions,83,364dI1bYnvamSnBJ8JcNzN,Intentions,2020-02-07
28Jt29jw6Smc3ZkzALTouq,DJ Chose,THICK (feat. Megan Thee Stallion) - Remix,72,52ySvuxscDGsXUVsci1Kpa,THICK (feat. Megan Thee Stallion) [Remix],2020-10-30
2e7a6ZMxkwltCzbxHq8b3t,ppcocaine,3 Musketeers,77,57Oi4yqY27uJzCyqFWIP5q,3 Musketeers,2020-07-07
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,Boss Bitch,86,78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,2020-01-23
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pov,90,3UoULw70kMsiVXxW0L3A33,Positions,2020-10-30
5LHRHt1k9lMyONurDHEdrp,Tyga,Bored In The House,68,5OxveXfvga2t0se21d96Ow,Bored In The House,2020-03-28
0mYBT2Ek76Szd4MqbCgT5R,Championxiii,BOO!,75,1eDyjPYw65g3wvQ7xJLF5c,BOO!,2020-10-16
6vAbPprzkLR2v8FpTgyYcV,Mighty Bay,Need A Freak,50,1oHtKjiGUmYDFGTlQVfsim,Need A Freak,2020-01-13
64EHXDoln95lnccszdPum0,Royal & the Serpent,Overwhelmed,79,5jjZikDrEd0by1o7V3fO4y,Overwhelmed,2020-06-26
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Captain Hook,78,1E3VQQWFQAPJkXfYHjqWoI,Suga,2020-03-06
6G5rJU2X575U83tkrcA7XN,Dante9k,Spongebob,29,5RUBtOzrUcM0tIRozgRtzA,Spongebob,2020-01-28
5NyCIBCeU080ynEj33S4hC,Blu DeTiger,Figure It Out,67,5G5qyRHlLmZgy915TBTCkB,Figure It Out,2020-04-17
0XNKQFs2Ewb3y0VsFUFc5l,MORGENSHTERN,ICE (feat. MORGENSHTERN),74,2E5NGLtMqDmeijWcntP8Ca,ICE (feat. MORGENSHTERN),2020-07-31
6AgTAQt8XS6jRWi4sX7w49,Polo G,Go Stupid,80,4PklAHGXT5ityno3IA8SKd,THE GOAT,2020-05-15
4Gso3d4CscCijv0lmajZWs,Don Toliver,After Party,86,527k23H0A4Q0UJN3vGs0Da,Heaven Or Hell,2020-03-13
6trIghKwHRUyxwvm66HLHH,Fousheé,Deep End,89,6HlE9t71z9DjGi7KqSyEpA,Deep End,2020-07-31
1iJdyDcY98X3GMnUesl7tf,Comethazine,LEAD THE RACE (UNDEFEATED),66,4zDxbbIOBxIIqSZyTpWg87,Pandemic,2020-03-27
6CTStccOisUTgXVrtCIANm,Ricky Desktop,The Dice Beat Pt. 1,51,4JeMM66h7rFqgO94N3kgCP,The Dice Beat Pt. 1,2020-07-20
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Girls in the Hood,81,6WbTTAGKrQtCQvmc5BuYfh,Girls in the Hood,2020-06-26
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,WHATS POPPIN,86,1jaTQ3nqY3oAAYyCTbIvnM,Sweet Action,2020-03-13
1294QqYm1VuxxjRiL9M0h9,UPSAHL,Drugs (feat. Two Feet),72,6lkIxqlCsnY3EW6ZobZbXi,Drugs (feat. Two Feet),2020-02-28
3cMPRnj4B5OD51uZVT0xem,Quise UE,No Guidance (Remix),59,3R59OUQEoaq879hIm7n7Iq,No Guidance (Remix),2020-08-01
5s3rUylqooMyGsFE0rOFJT,Cameron Dallas,Secrets,42,7cqpSgW37uJz8GO4Y4CltA,Secrets,2020-03-27
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Holy (feat. Chance The Rapper),93,5u1n1kITHCxxp8twBcZxWy,Holy,2020-09-18
2Kk6KjwTS9Q530Jmul6eHc,King Critical,Why Is Everything Chrome (Lean Swag Rock Wit It),55,0wQL4dv6dQjuiGdmJIjRCu,Why Is Everything Chrome (Lean Swag Rock Wit It),2020-04-30
