artist_id,music_author,music_title,popularity,song_id,album,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,author_title,title,lyrics,polarity,subjectivity,label
4r63FhuTkUYltbVAg5TQnk,DaBaby,ROCKSTAR (feat. Roddy Ricch),94,7ytR5pFWmSjzHJIeQkgog4,BLAME IT ON BABY,2020-04-17,181733,0.247,0.746,0.69,0.0,0.10099999999999999,-7.956,0.16399999999999998,89.977,0.49700000000000005,DaBaby ROCKSTAR (feat. Roddy Ricch),DaBaby ROCKSTAR,woo woo pull like pull baby pull pull pull lets go brand new lamborghini fuck cop car pistol hip like im cop ever met real nigga rockstar aint guitar bitch glock glock told promise gon squeeze better let go day need soon nigga get bustin aint enough go get chop safe say earned aint nigga gave nothin im ready hop nigga get bustin know heard say play lay dont make push button full pain dropped enough tears fill fuckin bucket goin buckets bought chopper got big drum hold hundred aint goin nothin im ready air niggas see em runnin talked mama hit facetime check brother im really baby know youngest son always guaranteed get money know baby boy always guaranteed get loot know know fore run nigga ima pull shoot ptsd im always waking cold sweats like got flu daughter g saw kill nigga front age two ill kill another nigga fore let another nigga somethin long know dont let nobody tell different daddy love lets go brand new lamborghini fuck cop car pistol hip like im cop ever met real nigga rockstar aint guitar bitch glock glock told promise gon squeeze better let go day need soon nigga get bustin aint enough go get chop keep glocky ride suburban cause codeine young nigga swervin got mop watch wash em like detergent im ballin thats diamonds jersey slide opps side flip block back yeah yeah junior popped left lopsided yeah yeah spin block got rebound dennis rodman fool one time cant cross twelve hundred horsepower get lost wind talkin yard pen dogsll take chin maybach suv refugees buy blocks hood put money streets solo opps caught gas station thirty thousand thought last day aint even want smoke choose murder wrote lets go brand new lamborghini fuck cop car pistol hip like im cop ever met real nigga rockstar aint guitar bitch glock glock told promise gon squeeze better let go day need soon nigga get bustin aint enough go get chop,0.06694214876033057,0.4236455463728192,1
5KYEMMz9O9iLIESifKAEOp,WhoHeem,Lets Link,76,5ruI0qfmxe4gNm1cWILqTw,Lets Link,2020-09-15,159955,0.006670000000000001,0.8390000000000001,0.6829999999999999,0.0,0.24100000000000002,-9.232000000000001,0.165,120.00299999999999,0.522,WhoHeem Lets Link,WhoHeem Lets Link,yeah huh baby like dont give fuck bout boyfriend like dont give fuck bout boyfriend come lets link cant beat hands treat like monarchy slide touch bands come lets link cant beat hands come heem come heem come lets link come lets link like dont give fuck bout boyfriend come lets link cant beat hands prada baby flocker dont let nigga hit call bopper cant bitch top got squabble like nigga yeah get hеr father sex city girls nails donе lemon braids theyre pretty girl ah dont world wrong shoe wrong fit cinderella girl car basic bro big mad chasin two weeks couldnt find replacement done lost good bitch downgraded basic lane switch bitch lucky call sour folk cause change cause dont care sold nigga wont offer notched turned pipe bossed bitch head got issue mace bitch tear drawers might spit messy take nigga want give pussy got stuck said love first day bitches couldnt see worst day fly bitch like first day school birthday ooh nasty freak ride dick bicyc make nigga bust min oh thats like baby ah thats like like dont give fuck bout boyfriend come lets link cant beat hands like dont give fuck bout boyfriend come lets link cant beat hands treat like monarchy slide touch bands come heem cant beat hands come heem come heem come lets link tryna like dont give fuck bout boyfriend come lets link cant beat hands,-0.09566666666666668,0.5900000000000001,0
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,Mood (feat. iann dior),100,3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),2020-07-24,140525,0.221,0.7,0.722,0.0,0.272,-3.5580000000000003,0.0369,90.98899999999999,0.7559999999999999,24kGoldn Mood (feat. iann dior),24kGoldn Mood,ohohoh yeah yeah yeah yeah always mood fuckin round actin brand new aint tryna tell try play cool baby aint playing rules everything look better view always mood fuckin round actin brand new aint tryna tell try play cool baby aint playing rules everything look better view yeah could never get attached start feel unattach somehow always end feeling bad baby dad want want company girl obvious elephant room part dont act confused love startin im mood arguin bedroom play games love avoid depression wont victim always mood fuckin round actin brand new aint tryna tell try play cool baby aint playing rules everything look better view always mood fuckin round actin brand new aint tryna tell try play cool baby aint playing rules everything look better view tryin fake love regular could blowin like cellular wont ever let shorty go set thing need know wet enough im talking slick back kick back gang sippin fourties keep playin another day shorty mismatched fits way know got lot love well better save play games love avoid depression wont victim always mood fuckin round actin brand new aint tryna tell try play cool baby aint playing rules everything look better view always mood fuckin round actin brand new aint tryna tell try play cool baby aint playing rules everything look better view yeah,0.13376623376623376,0.4725205350205349,1
3n6wgt7LmxAnT0XOHleQcP,BMW KENNY,#WIPEITDOWN,58,2kefHjNepGePZG4WxH2Vh4,Wipe It Down,2020-04-27,99428,0.0427,0.934,0.632,0.00485,0.10300000000000001,-7.484,0.40399999999999997,140.125,0.531,BMW KENNY #WIPEITDOWN,Bmw kenny wipe it down,wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe ooh wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wont wipe wipe wont wipe wipe easy gotta put back swing arms left right like trying start fight cant fuck around squares know gotta keep circle tight make money flip ten times fake ass niggas switch sides littest nigga turnin hit groove run misfits club gon run amok littest nigga turnin hit groove run misfits club gon run amok wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe ooh wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wipe wont wipe wipe wont wipe wipe,-0.0449404761904762,0.4068452380952381,0
0DbBBj0ScPumRqKXswGQH1,Cookiee Kawaii,Vibe (If I Back It Up),70,4ZAQiu61otvHVveuTsPAUr,"Club Soda, Vol. 2",2020-08-28,84000,0.0627,0.778,0.5760000000000001,0.0044,0.11599999999999999,-8.698,0.301,80.027,0.155,Cookiee Kawaii Vibe (If I Back It Up),Cookiee Kawaii Vibe If I Back It Up,know feel vibe lil baby ready hit line tell wanna know see im feelin dont let shit get way know tired playin games tell wanna know see im feelin back fat enough baby throw back fast enough speed handle aint ready work watch throw throw back throw back back back throw back back back back throw back back back throw back back back throw back back ass fat fat fat fat fat fat fat fat ass fat fat fat fat fat fat fat like rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock,0.0,0.16399999999999998,0
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Body,90,0A1hoCfMLkiAgvhWkkucJa,Good News,2020-11-20,171067,0.0166,0.914,0.732,0.0,0.107,-6.1,0.24100000000000002,94.066,0.469,Megan Thee Stallion Body,Megan Thee Stallion Body,real hot girl shit ah beat live know lil ju made bodyodyodyodyodyodyodyody odyodyodyodyodyodyody bodyodyodyodyodyodyodyody odyodyodyodyodyodyody body crazy curvy wavy big titties lil waist body crazy curvy wavy big titties lil waist bodyodyodyodyodyodyodyody odyodyodyodyodyodyody look bodied ate gave back yeah look good still wanna know megan saucy like barbecue wont get baby back see dress feel like almost tasted num num num num eat foreplay okay three two one know im hottest aint ever gotta heat im present whеn im absent speakin im thеre bitches scary cats call em carole baskins ah bodyodyodyodyodyodyodyody odyodyodyodyodyodyody bodyodyodyodyodyodyodyody odyodyodyodyodyodyody body crazy curvy wavy big titties lil waist body crazy curvy wavy big titties lil waist bodyodyodyodyodyodyodyody odyodyodyodyodyodyody im hot ebony gon click pictures gettin niggas quarantine bitch im well shit could tell ho got beef years ago beefing ah ah took trip real creep tip bitch rule number one dont repeat shit rule number two came better know exactly fuck came bodyodyodyodyodyodyodyody odyodyodyodyodyodyody bodyodyodyodyodyodyodyody odyodyodyodyodyodyody body crazy curvy wavy big titties lil waist body crazy curvy wavy big titties lil waist bodyodyodyodyodyodyodyody odyodyodyodyodyodyody category body look way sittin ratio control waist ass titties wasnt wouldve seen would bought drink took home long ate panties could build house brick got bitches spend lifetime tryna get hot head big could make pop im one play like touchmenot ah bodyodyodyodyodyodyodyody odyodyodyodyodyodyody bodyodyodyodyodyodyodyody odyodyodyodyodyodyody body crazy curvy wavy big titties lil waist body crazy curvy wavy big titties lil waist bodyodyodyodyodyodyodyody odyodyodyodyodyodyody odyodyodyody mwah,-0.10113636363636364,0.5176470588235295,0
7502fDxg339jvGV08Jd4R0,Jasiah,Crisis,71,0IGxkEgMeF1dwOSIj2IUrT,Crisis,2020-07-27,109595,0.263,0.76,0.794,0.00324,0.0996,-4.311,0.344,165.99,0.583,Jasiah Crisis,Jasiah Crisis,yuh yeah right right right yeah haha break nigga runnin mistake im comin nigga fuckin place aint got time wasted im crazy nigga see brain nigga runnin mistake im comin nigga fuckin place aint got time wasted im crazy nigga see brain ayy ima fuck nigga nigga run ill buck nigga shut dumb niggas think tough nigga bitch im tryna fuck yes im blunt nigga im swerving streets got nervous im really murking murder beat burden im really workin finna see servant got bitch workin twerkin sheets ayy get fuck way dont give fuck think im playin might go super saiyan give sec might break nigga runnin mistake im comin nigga fuckin place aint got time wasted im crazy nigga see brain nigga runnin mistake im comin nigga fuckin place aint got time wasted im crazy nigga see brain nigga running mistake im comin nigga fuckin place aint got time wasted im crazy nigga see brain,-0.2069365079365079,0.5122857142857142,0
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Therefore I Am,97,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,2020-11-12,174321,0.218,0.889,0.34,0.13,0.055,-7.773,0.0697,94.009,0.716,Billie Eilish Therefore I Am,Billie Eilish Therefore I Am,im friend anything damn think youre man think therefore im friend anything damn think youre man think therefore stop hell talking ha get pretty name mouth without dont talk bout like might know feel top world world isnt real worlds ideal go fun really couldnt care less give em best know im friend anything damn think youre man think therefore im friend anything damn think youre man think therefore dont want press put name next mine different lines wanna nice enough dont call bluff cause hate find articles articles articles rather remain unremarkable interviews interviews interviews say name act confused fun really couldnt care less give em best know im friend anything damn think youre man think therefore im friend anything damn think youre man think therefore im sorry dont think caught name im sorry dont think caught name im friend anything damn think youre man think therefore im friend anything damn think youre man think therefore,0.14583333333333334,0.5016666666666667,0
656DEjf8bYlGw2DqBj28qz,Danilo Stankovic,Pieces,40,0MCdZnS4srzHUHWcV7pHNK,Pieces,2020-09-17,85910,0.995,0.391,0.191,0.9129999999999999,0.11699999999999999,-19.27,0.0382,81.66199999999999,0.35200000000000004,Danilo Stankovic Pieces,Danilo Stankovic Pieces,meme,0.0,0.0,0
45TgXXqMDdF8BkjA83OM7z,Rod Wave,Rags2Riches (feat. ATR Son Son),78,1ENdcyhqdylaLsPVgB83qq,Pray 4 Love,2020-04-03,167183,0.294,0.904,0.252,0.0,0.10400000000000001,-17.54,0.11,117.994,0.22699999999999998,Rod Wave Rags2Riches (feat. ATR Son Son),Rod Wave Rags2Riches,look uh look went rags riches uh project fences livin luxury live luxury straight bottom nobody gave nothing careful fucking lil brothers bout cuttin yeah gon cut lay cut cutters cut free say love save love want company fall club free give daps hugs wasnt ones cause type shit dont faze player uh type shit make hater got mud yeah ran yeah really dont give fuck yeah dont give fuck turn nothing something yeah really hustlin yeah young gettin money yeah getting money yeah rags riches rags riches uh rags riches rags riches rags riches uh rags riches rags riches rags riches uh rags riches riches yeah rags riches rags rags riches rags riches rags riches damn said ooh ooh ooh ooh ooh,0.049090909090909095,0.6066666666666666,0
3Rx4PJ7SP6unkOk5elPUK7,Money Man,24,77,2FVMbLuIxo0dz3KLXgN6Jh,Epidemic,2020-03-02,160952,0.0265,0.8420000000000001,0.715,0.0554,0.0831,-6.03,0.0912,126.021,0.428,Money Man 24,Money Man 24,burnin lilikoi louis corduroys rip kobe bryant rip make cool k less twentyfour hours ridin pack tennessee mountains vpn socks least three routers ima thumb dont need counter resuscitate bitch neck almost drowned got oil got hemp got wax got flower burnin preroll finna go pluto drippin real hard im hoppin twodoor met psychedelic plug named hugo thirty laptops motherfuckin condo white collar diamonds nigga ballin like lonzo niggas overrated like joe flacco feelin like jim jones nigga im capo ima flip rollsroyce im feelin like pop smoke banana cream cake motherfuckin hemp wrap dont like smell pack get sent back dont like energy push nigga shit back making hash oil listening bank big facts making hash oil listening scream big facts slick talkin finna get nigga kidnapped gelonade got nigga finna go lift ima empty magazine im pissed im wedding pie got geeked bitch hit twice went sleep drop bud clock perfect technique ima hit rear wan grab obliques aint got time day females mad internet racks ima run rapidly know im vicious im fuckin savagely know get racks know mentality grew trap watching kobe yam nigga pull porsche yeah pan nigga yeah pull dodge yeah ram nigga anybody try yeah ima blam niggas hit banks got fifty different cred lines turn ladys son fox headline drippin start clothing line got two jits dawg ill die mine aint never satisfied til money increase fucked profile many inquiries lowkey hatin hear em whispering baguette chains see em glimmering make uturn seen roadblock aint playin games aint sparin opps full moon im burnin moon rock livin schemes tiptop burnin lilikoi louis corduroys rip kobe bryant rip make cool k less twentyfour hours ridin pack tennessee mountains vpn socks least three routers ima thumb dont need counter resuscitate bitch neck almost drowned got oil got hemp got wax got flower burnin preroll finna go pluto drippin real hard im hoppin twodoor met psychedelic plug named hugo thirty laptops motherfuckin condo white collar diamonds nigga ballin like lonzo niggas overrated like joe flacco feelin like jim jones nigga im capo ima flip rollsroyce im feelin like pop smoke,-0.10977011494252872,0.4632183908045977,0
4DMkrFIqGXLycc4YLYTn1i,Tiagz,They Call Me Tiago (Her Name Is Margo),72,1UxYmRBBJMMuzYcK9miSYs,They Call Me Tiago (Her Name Is Margo),2020-02-27,154455,0.196,0.878,0.578,0.433,0.0965,-7.581,0.0722,100.99600000000001,0.14800000000000002,Tiagz They Call Me Tiago (Her Name Is Margo),Tiagz They Call Me Tiago Her Name Is Margo,excuse name margo margo marco mango wells fargo yeah someone said wells fargo call tiago dont know whos margo hit lotto im building cargo know gotta go call tiago dont know whos margo hit lotto im building cargo know gotta go ooh behind scenes lit ooh gettin hit made ooh ooh relax cause gotta cool ooh never quit im different wave stick little lane gassin know whats nobody knew im swimmin sea see ice whats underneath go go go go go go go go go go go go stop waiting ima take game dont even bother yuh call tiago dont know whos margo hit lotto im building cargo know gotta go call tiago dont know whos margo hit lotto im building cargo know gotta go yo say ive patient done mean beginning yuh ive patient grind put strive till five sun came drive stand ive patient grind put strive till five sun came drive stand everybody really judged stayed woke made tracks droppin made stacks im back zone call tiago dont know whos margo hit lotto im building cargo know gotta go call tiago dont know whos margo hit lotto im building cargo know gotta go,-0.08888888888888889,0.4208333333333333,0
3mBCzPtPPDHx4YtXGBvkQx,Ashton Gleckman,"Ice Dance (From ""Edward Scissorhands"")",54,0zCtZXgVhl2jG9a1nalGOk,A Night at the Movies,2020-03-04,109841,0.976,0.11599999999999999,0.179,0.912,0.0935,-15.763,0.0325,85.773,0.0438,"Ashton Gleckman Ice Dance (From ""Edward Scissorhands"")",Ashton Gleckman Ice Dance From Edward Scissorhands,meme,0.0,0.0,0
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Lonely (with benny blanco),70,7HWetAoWK9qkFM575HONAY,Lonely (with benny blanco),2020-10-16,149297,0.879,0.631,0.226,0.0,0.115,-7.257000000000001,0.0396,79.968,0.0765,Justin Bieber Lonely (with benny blanco),Justin bieber and benny blanco lonely,everybody knows name somethin bout still feels strange like lookin mirror tryna steady seein somebody else everything feels like lives changed maybe im older itll calm killin nobody call maybe youd know cause ive everything ones listening thats fuckin lonely im loooonely loooonely everybody knows past like house always made glass maybe thats price pay money fame early age everybody saw sick felt like one gave shit criticized things idiot kid nobody call maybe youd know cause ive everything ones listening thats fuckin lonely im loooonely loooonely im loooonely loooonely,-0.13463203463203466,0.5582251082251083,0
